Job Cost Report (03/01/2025 to 06/01/2025)
Generated: 05/27/2025 00:23:21

SUMMARY METRICS
Total Labor Cost,$45250.35
Total Hours,731.15
Average Cost per Hour,$61.89
Number of Jobs,11

DETAILED BREAKDOWN

Job:  TAC-2025-038 - Pierce County Justice Center Renovation - Phase 2
Date,Worker,Activity,Hours,Burden Rate,Total Cost
04/21/2025,Robert Johnson,Sanding,12.0,$65.00,$780.00
04/22/2025,Robert Johnson,Taping and Mudding,8.0,$65.00,$520.00
05/01/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
05/02/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
05/05/2025,Robert Johnson,Taping and Mudding,12.0,$65.00,$780.00
05/06/2025,Robert Johnson,Taping and Mudding,8.0,$65.00,$520.00
05/07/2025,Robert Johnson,Taping and Mudding,8.0,$65.00,$520.00
05/08/2025,Robert Johnson,Taping and Mudding,8.0,$65.00,$520.00
05/09/2025,Robert Johnson,Taping and Mudding,8.0,$65.00,$520.00
05/26/2025,Robert Johnson,Hanging Drywall,4.0,$65.00,$260.00
05/26/2025,Robert Johnson,Sanding,8.0,$65.00,$520.00
Job Subtotal:,,,92.00,$5980.00

Job: 1047 - Broadway Apartment 101 Building 
Date,Worker,Activity,Hours,Burden Rate,Total Cost
03/27/2025,Brad Bradley,Hanging Drywall,7.5,$61.50,$461.25
03/27/2025,Brad Bradley,Hanging Drywall,7.0,$61.50,$430.50
04/01/2025,Brad Bradley,Sanding,4.5,$61.50,$276.75
04/01/2025,Brad Bradley,Sanding,3.0,$61.50,$184.50
05/04/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
04/12/2025,John Smith,Hanging Drywall,0.21,$59.00,$12.39
04/13/2025,John Smith,Hanging Drywall,0.08,$59.00,$4.72
04/13/2025,John Smith,Hanging Drywall,0.0,$59.00,$0.00
04/14/2025,John Smith,Hanging Drywall,10.55,$59.00,$622.45
04/02/2025,Robert Johnson,Sanding,4.0,$65.00,$260.00
04/02/2025,Robert Johnson,Sanding,6.0,$65.00,$390.00
04/09/2025,Robert Johnson,Hanging Drywall,2.5,$65.00,$162.50
Job Subtotal:,,,53.34,$3297.06

Job: 2333 - Sound Transit 2
Date,Worker,Activity,Hours,Burden Rate,Total Cost
03/22/2025,Brad Bradley,Sanding,8.0,$61.50,$492.00
03/23/2025,Brad Bradley,Sanding,8.0,$61.50,$492.00
03/24/2025,Brad Bradley,Sanding,8.0,$61.50,$492.00
03/25/2025,Brad Bradley,Sanding,8.0,$61.50,$492.00
03/26/2025,Brad Bradley,Sanding,8.0,$61.50,$492.00
03/22/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
03/27/2025,Robert Johnson,Hanging Drywall,7.5,$65.00,$487.50
03/31/2025,Robert Johnson,Sanding,6.0,$65.00,$390.00
03/31/2025,Robert Johnson,Sanding,4.5,$65.00,$292.50
Job Subtotal:,,,66.00,$4150.00

Job: 4423 - Seattle Public Library
Date,Worker,Activity,Hours,Burden Rate,Total Cost
04/18/2025,John Smith,Hanging Drywall,0.0,$59.00,$0.00
04/18/2025,John Smith,Hanging Drywall,74.12,$59.00,$4373.08
04/22/2025,John Smith,Hanging Drywall,0.15,$59.00,$8.85
04/22/2025,John Smith,Hanging Drywall,0.0,$59.00,$0.00
04/22/2025,John Smith,Hanging Drywall,0.04,$59.00,$2.36
04/22/2025,John Smith,Hanging Drywall,0.02,$59.00,$1.18
04/23/2025,John Smith,Hanging Drywall,0.1,$59.00,$5.90
04/29/2025,John Smith,Taping and Mudding,119.69,$59.00,$7061.71
05/04/2025,Mom,Hanging Drywall,8.0,$30.00,$240.00
Job Subtotal:,,,202.12,$11693.08

Job: 4725-1 - Mike Bathroom Remodel
Date,Worker,Activity,Hours,Burden Rate,Total Cost
04/07/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
04/08/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
04/12/2025,John Smith,Fixture Mounting,4.91,$59.00,$289.69
04/21/2025,John Smith,Hanging Drywall,0.03,$59.00,$1.77
04/21/2025,John Smith,Hanging Drywall,0.0,$59.00,$0.00
04/21/2025,John Smith,Hanging Drywall,0.05,$59.00,$2.95
05/04/2025,John Smith,Hanging Drywall,8.0,$59.00,$472.00
04/08/2025,Robert Johnson,Hanging Drywall,3.5,$65.00,$227.50
Job Subtotal:,,,32.49,$1977.91

Job: 8002 - Marriott Bellevue TI
Date,Worker,Activity,Hours,Burden Rate,Total Cost
05/12/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
05/13/2025,Robert Johnson,Sanding,4.0,$65.00,$260.00
05/13/2025,Robert Johnson,Taping and Mudding,4.0,$65.00,$260.00
05/15/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
05/19/2025,Robert Johnson,Hanging Drywall,4.0,$65.00,$260.00
05/24/2025,Robert Johnson,Hanging Drywall,12.0,$65.00,$780.00
Job Subtotal:,,,40.00,$2600.00

Job: 8004 - Columbia Bank HQ Reno
Date,Worker,Activity,Hours,Burden Rate,Total Cost
05/12/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
05/13/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
05/14/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
05/15/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
05/16/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
Job Subtotal:,,,40.00,$2460.00

Job: 8005 - Expedia Offices TI
Date,Worker,Activity,Hours,Burden Rate,Total Cost
05/12/2025,Robert Johnson,Taping and Mudding,4.0,$65.00,$260.00
05/13/2025,Robert Johnson,Taping and Mudding,4.0,$65.00,$260.00
05/19/2025,Robert Johnson,Taping and Mudding,4.0,$65.00,$260.00
05/20/2025,Robert Johnson,Taping and Mudding,4.0,$65.00,$260.00
05/21/2025,Robert Johnson,Taping and Mudding,8.0,$65.00,$520.00
05/22/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
05/23/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
Job Subtotal:,,,40.00,$2600.00

Job: DRY-001 - Commercial Office Drywall
Date,Worker,Activity,Hours,Burden Rate,Total Cost
03/26/2025,Brad Bradley,Taping and Mudding,6.5,$61.50,$399.75
03/31/2025,Brad Bradley,Sanding,6.5,$61.50,$399.75
05/19/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
05/20/2025,Brad Bradley,Hanging Drywall,4.0,$61.50,$246.00
05/21/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
05/22/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
05/23/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
04/13/2025,John Smith,Hanging Drywall,0.66,$59.00,$38.94
04/13/2025,John Smith,Hanging Drywall,0.01,$59.00,$0.59
03/24/2025,Robert Johnson,Hanging Drywall,4.0,$65.00,$260.00
03/24/2025,Robert Johnson,Hanging Drywall,5.0,$65.00,$325.00
03/26/2025,Robert Johnson,Hanging Drywall,4.5,$65.00,$292.50
03/26/2025,Robert Johnson,Hanging Drywall,5.5,$65.00,$357.50
04/13/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
Job Subtotal:,,,76.67,$4808.03

Job: ELEC-002 - Residential Rewiring
Date,Worker,Activity,Hours,Burden Rate,Total Cost
03/24/2025,Brad Bradley,Fixture Installation,7.5,$61.50,$461.25
04/13/2025,John Smith,Hanging Drywall,0.0,$59.00,$0.00
04/13/2025,John Smith,Hanging Drywall,0.0,$59.00,$0.00
04/13/2025,John Smith,Hanging Drywall,0.0,$59.00,$0.00
04/13/2025,John Smith,Hanging Drywall,0.03,$59.00,$1.77
04/13/2025,John Smith,Hanging Drywall,0.0,$59.00,$0.00
03/25/2025,Robert Johnson,Fixture Installation,7.0,$65.00,$455.00
03/28/2025,Robert Johnson,Fixture Installation,8.0,$65.00,$520.00
03/28/2025,Robert Johnson,Fixture Installation,3.5,$65.00,$227.50
04/07/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
04/08/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
04/11/2025,Robert Johnson,Wiring Installation,8.0,$65.00,$520.00
04/13/2025,Robert Johnson,Wiring Installation,8.0,$65.00,$520.00
04/14/2025,Robert Johnson,Wiring Installation,8.0,$65.00,$520.00
05/04/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
Job Subtotal:,,,74.03,$4785.52

Job: PLB-003 - Hospital Plumbing Upgrade
Date,Worker,Activity,Hours,Burden Rate,Total Cost
03/28/2025,Brad Bradley,Pipe Installation,3.0,$61.50,$184.50
03/28/2025,Brad Bradley,Pipe Installation,6.0,$61.50,$369.00
04/02/2025,Brad Bradley,Fixture Mounting,3.5,$61.50,$215.25
04/01/2025,Robert Johnson,Fixture Mounting,2.0,$65.00,$130.00
Job Subtotal:,,,14.50,$898.75

GRAND TOTAL:,,,731.15,$45250.35
