Job Cost Report (06/01/2025 to 06/30/2025)
Generated: 06/17/2025 03:00:11

SUMMARY METRICS
Total Labor Cost,$27,015.47
Total Hours,490.15
Average Cost per Hour,$55.12
Number of Jobs,6

DETAILED BREAKDOWN

Job:  TAC-2025-038 - Pierce County Justice Center Renovation - Phase 2
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/02/2025,Robert Johnson,Sanding,4.0,$65.00,$260.00
Job Subtotal:,,,4.00,$260.00

Job: 8002 - Marriott Bellevue TI
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/16/2025,Brad Bradley,Hanging Drywall,0.4,$61.50,$24.60
06/16/2025,Brad Bradley,Hanging Drywall,2.11,$61.50,$129.76
06/16/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
Job Subtotal:,,,10.51,$674.37

Job: 8004 - Columbia Bank HQ Reno
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/05/2025,Robert Johnson,Hanging Drywall,1.0,$65.00,$65.00
Job Subtotal:,,,1.00,$65.00

Job: 8005 - Expedia Offices TI
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/16/2025,Brad Bradley,Hanging Drywall,0.64,$61.50,$39.36
Job Subtotal:,,,0.64,$39.36

Job: 8012 - Embassy Suites by Hilton
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/06/2025,Brad Bradley,Taping and Mudding,8.0,$61.50,$492.00
06/09/2025,Brad Bradley,Hanging Drywall,4.5,$61.50,$276.75
06/10/2025,Brad Bradley,Surface Preparation,6.0,$61.50,$369.00
06/11/2025,Brad Bradley,Painting,7.0,$61.50,$430.50
06/12/2025,Brad Bradley,Priming,8.0,$61.50,$492.00
06/13/2025,Brad Bradley,Sanding,6.5,$61.50,$399.75
06/16/2025,Brad Bradley,Priming,5.5,$61.50,$338.25
06/17/2025,Brad Bradley,Taping and Mudding,6.5,$61.50,$399.75
06/18/2025,Brad Bradley,Sanding,4.0,$61.50,$246.00
06/19/2025,Brad Bradley,Hanging Drywall,7.0,$61.50,$430.50
06/20/2025,Brad Bradley,Painting,5.0,$61.50,$307.50
