Job Cost Report (06/16/2025 to 06/30/2025)
Generated: 06/17/2025 17:48:25

SUMMARY METRICS
Total Labor Cost,$16,255.98
Total Hours,299.65
Average Cost per Hour,$54.25
Number of Jobs,4

DETAILED BREAKDOWN

Job: 8002 - Marriott Bellevue TI
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/16/2025,Brad Bradley,Hanging Drywall,2.11,$61.50,$129.76
06/16/2025,Brad Bradley,Hanging Drywall,0.4,$61.50,$24.60
06/16/2025,Robert Johnson,Hanging Drywall,8.0,$65.00,$520.00
Job Subtotal:,,,10.51,$674.37

Job: 8004 - Columbia Bank HQ Reno
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/16/2025,Brad Bradley,Hanging Drywall,8.0,$61.50,$492.00
Job Subtotal:,,,8.00,$492.00

Job: 8005 - Expedia Offices TI
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/16/2025,Brad Bradley,Hanging Drywall,0.64,$61.50,$39.36
Job Subtotal:,,,0.64,$39.36

Job: 8012 - Embassy Suites by Hilton
Date,Worker,Activity,Hours,Burden Rate,Total Cost
06/16/2025,Brad Bradley,Priming,5.5,$61.50,$338.25
06/17/2025,Brad Bradley,Taping and Mudding,6.5,$61.50,$399.75
06/18/2025,Brad Bradley,Sanding,4.0,$61.50,$246.00
06/19/2025,Brad Bradley,Hanging Drywall,7.0,$61.50,$430.50
06/20/2025,Brad Bradley,Painting,5.0,$61.50,$307.50
06/23/2025,Brad Bradley,Surface Preparation,8.0,$61.50,$492.00
06/24/2025,Brad Bradley,Hanging Drywall,6.0,$61.50,$369.00
06/25/2025,Brad Bradley,Painting,7.0,$61.50,$430.50
06/26/2025,Brad Bradley,Priming,6.5,$61.50,$399.75
06/27/2025,Brad Bradley,Sanding,4.0,$61.50,$246.00
06/30/2025,Brad Bradley,Taping and Mudding,8.0,$61.50,$492.00
06/16/2025,John Smith,Hanging Drywall,8.0,$59.00,$472.00
06/17/2025,John Smith,Surface Preparation,4.5,$59.00,$265.50
06/18/2025,John Smith,Painting,6.5,$59.00,$383.50
06/19/2025,John Smith,Taping and Mudding,5.5,$59.00,$324.50
06/20/2025,John Smith,Sanding,7.5,$59.00,$442.50
06/23/2025,John Smith,Hanging Drywall,6.5,$59.00,$383.50
06/24/2025,John Smith,Painting,7.5,$59.00,$442.50
06/25/2025,John Smith,Surface Preparation,6.5,$59.00,$383.50
06/26/2025,John Smith,Hanging Drywall,4.5,$59.00,$265.50
06/27/2025,John Smith,Taping and Mudding,8.0,$59.00,$472.00
06/30/2025,John Smith,Priming,6.0,$59.00,$354.00
06/16/2025,Memoree Cushing,Painting,7.0,$30.00,$210.00
06/17/2025,Memoree Cushing,Hanging Drywall,8.0,$30.00,$240.00
06/18/2025,Memoree Cushing,Priming,7.5,$30.00,$225.00
06/19/2025,Memoree Cushing,Surface Preparation,4.5,$30.00,$135.00
06/20/2025,Memoree Cushing,Taping and Mudding,8.0,$30.00,$240.00
06/23/2025,Memoree Cushing,Sanding,4.0,$30.00,$120.00
06/24/2025,Memoree Cushing,Priming,8.0,$30.00,$240.00
06/25/2025,Memoree Cushing,Taping and Mudding,5.0,$30.00,$150.00
06/26/2025,Memoree Cushing,Surface Preparation,7.0,$30.00,$210.00
06/27/2025,Memoree Cushing,Painting,7.5,$30.00,$225.00
06/30/2025,Memoree Cushing,Hanging Drywall,5.5,$30.00,$165.00
06/16/2025,Robert Johnson,Taping and Mudding,6.0,$65.00,$390.00
06/17/2025,Robert Johnson,Sanding,7.5,$65.00,$487.50
06/18/2025,Robert Johnson,Surface Preparation,5.0,$65.00,$325.00
06/19/2025,Robert Johnson,Painting,8.0,$65.00,$520.00
06/20/2025,Robert Johnson,Hanging Drywall,6.0,$65.00,$390.00
06/23/2025,Robert Johnson,Priming,7.0,$65.00,$455.00
06/24/2025,Robert Johnson,Taping and Mudding,5.5,$65.00,$357.50
06/25/2025,Robert Johnson,Sanding,4.5,$65.00,$292.50
06/26/2025,Robert Johnson,Painting,8.0,$65.00,$520.00
06/27/2025,Robert Johnson,Surface Preparation,5.5,$65.00,$357.50
06/30/2025,Robert Johnson,Hanging Drywall,7.0,$65.00,$455.00
Job Subtotal:,,,280.50,$15,050.25

GRAND TOTAL:,,,299.65,$16,255.98
